Date,Time,Count,LOC,summary,icon,temperature,humidity,pressure,GroupNo,Day,DayNo,Is_Holiday
03/01/18,12:00:00,77,ALUVA,Humid and Overcast,cloudy,80.1,0.96,1010.6,2,Wednesday,2,0
03/01/18,13:00:00,109,ALUVA,Humid and Overcast,cloudy,79.49,0.97,1010.5,4,Wednesday,2,0
03/01/18,14:00:00,204,ALUVA,Humid and Overcast,cloudy,80.43,0.98,1009.5,6,Wednesday,2,0
03/01/18,15:00:00,241,ALUVA,Humid and Overcast,cloudy,82.0,0.93,1008.6,6,Wednesday,2,0
03/01/18,16:00:00,188,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.53,0.94,1008.2,4,Wednesday,2,0
03/01/18,17:00:00,297,ALUVA,Humid and Overcast,cloudy,83.14,0.94,1008.0,4,Wednesday,2,0
03/01/18,18:00:00,234,ALUVA,Humid and Overcast,cloudy,81.24,0.97,1008.8,6,Wednesday,2,0
03/01/18,19:00:00,196,ALUVA,Possible Light Rain and Humid,rain,79.13,0.98,1007.9,3,Wednesday,2,0
03/01/18,20:00:00,136,ALUVA,Humid and Overcast,cloudy,77.41,1.0,1009.7,2,Wednesday,2,0
03/01/18,21:00:00,217,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.49,0.93,1009.4,7,Wednesday,2,0
03/01/18,22:00:00,66,ALUVA,Humid and Overcast,cloudy,78.89,1.0,1009.8,4,Wednesday,2,0
03/01/18,23:00:00,54,ALUVA,Humid and Overcast,cloudy,80.47,0.95,1009.2,6,Wednesday,2,0
04/01/18,00:00:00,280,ALUVA,Possible Light Rain and Humid,rain,78.07,0.98,1008.7,7,Thursday,3,0
04/01/18,01:00:00,254,ALUVA,Possible Drizzle and Humid,rain,78.21,1.0,1008.6,2,Thursday,3,0
04/01/18,02:00:00,54,ALUVA,Humid and Overcast,cloudy,78.92,1.0,1008.7,4,Thursday,3,0
04/01/18,03:00:00,295,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,78.14,1.0,1010.1,4,Thursday,3,0
04/01/18,04:00:00,177,ALUVA,Possible Light Rain and Humid,rain,78.4,0.96,1009.1,2,Thursday,3,0
04/01/18,05:00:00,126,ALUVA,Possible Light Rain and Humid,rain,76.99,1.0,1008.1,8,Thursday,3,0
04/01/18,06:00:00,87,ALUVA,Possible Light Rain and Humid,rain,76.9,1.0,1008.8,3,Thursday,3,0
04/01/18,07:00:00,201,ALUVA,Possible Light Rain and Humid,rain,77.7,1.0,1009.3,5,Thursday,3,0
04/01/18,08:00:00,140,ALUVA,Possible Light Rain and Humid,rain,77.21,1.0,1010.1,7,Thursday,3,0
04/01/18,09:00:00,217,ALUVA,Possible Light Rain and Humid,rain,76.08,1.0,1010.8,5,Thursday,3,0
04/01/18,10:00:00,191,ALUVA,Possible Light Rain and Humid,rain,77.43,0.98,1011.0,5,Thursday,3,0
04/01/18,11:00:00,234,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,79.22,0.96,1010.9,4,Thursday,3,0
04/01/18,12:00:00,92,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,79.44,0.94,1011.1,3,Thursday,3,0
04/01/18,13:00:00,297,ALUVA,Humid and Overcast,cloudy,78.87,0.97,1011.1,6,Thursday,3,0
04/01/18,14:00:00,194,ALUVA,Possible Light Rain and Humid,rain,76.98,0.99,1010.5,2,Thursday,3,0
04/01/18,15:00:00,215,ALUVA,Possible Light Rain and Humid,rain,77.2,0.99,1010.2,4,Thursday,3,0
04/01/18,16:00:00,87,ALUVA,Possible Light Rain and Humid,rain,76.92,1.0,1010.0,1,Thursday,3,0
04/01/18,17:00:00,79,ALUVA,Possible Light Rain and Humid,rain,76.78,1.0,1009.7,4,Thursday,3,0
04/01/18,18:00:00,115,ALUVA,Possible Drizzle and Humid,rain,75.84,1.0,1008.5,2,Thursday,3,0
04/01/18,19:00:00,210,ALUVA,Possible Light Rain and Humid,rain,77.3,1.0,1008.1,2,Thursday,3,0
04/01/18,20:00:00,60,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,77.77,0.98,1009.4,2,Thursday,3,0
04/01/18,21:00:00,194,ALUVA,Humid and Overcast,cloudy,77.32,0.97,1011.0,5,Thursday,3,0
04/01/18,22:00:00,135,ALUVA,Humid and Overcast,cloudy,78.49,0.96,1010.5,8,Thursday,3,0
04/01/18,23:00:00,240,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,78.57,0.94,1010.4,4,Thursday,3,0
05/01/18,00:00:00,183,ALUVA,Humid and Overcast,cloudy,79.69,0.9,1010.2,3,Friday,4,0
05/01/18,01:00:00,135,ALUVA,Humid and Overcast,cloudy,79.69,0.9,1009.8,7,Friday,4,0
05/01/18,02:00:00,279,ALUVA,Humid and Overcast,cloudy,78.9,0.95,1009.5,3,Friday,4,0
05/01/18,03:00:00,210,ALUVA,Humid and Overcast,cloudy,78.74,0.95,1008.4,5,Friday,4,0
05/01/18,04:00:00,145,ALUVA,Humid and Overcast,cloudy,76.8,1.0,1009.6,3,Friday,4,0
05/01/18,05:00:00,82,ALUVA,Possible Drizzle and Humid,rain,77.98,1.0,1010.3,6,Friday,4,0
05/01/18,06:00:00,102,ALUVA,Humid and Overcast,cloudy,78.68,0.98,1010.3,4,Friday,4,0
05/01/18,07:00:00,225,ALUVA,Possible Light Rain and Humid,rain,78.44,0.99,1009.2,4,Friday,4,0
05/01/18,08:00:00,296,ALUVA,Possible Light Rain and Humid,rain,78.08,0.99,1009.6,4,Friday,4,0
05/01/18,09:00:00,284,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,78.79,0.98,1011.2,3,Friday,4,0
05/01/18,10:00:00,50,ALUVA,Possible Light Rain and Humid,rain,78.23,1.0,1010.7,1,Friday,4,0
05/01/18,11:00:00,156,ALUVA,Possible Light Rain and Humid,rain,76.98,1.0,1011.1,3,Friday,4,0
05/01/18,12:00:00,107,ALUVA,Humid and Overcast,cloudy,76.84,0.98,1010.9,8,Friday,4,0
05/01/18,13:00:00,145,ALUVA,Humid and Overcast,cloudy,78.44,0.98,1011.7,2,Friday,4,0
05/01/18,14:00:00,280,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,78.82,0.98,1012.2,6,Friday,4,0
05/01/18,15:00:00,261,ALUVA,Possible Light Rain and Humid,rain,79.13,0.99,1012.4,8,Friday,4,0
05/01/18,16:00:00,50,ALUVA,Possible Light Rain and Humid,rain,76.94,1.0,1011.7,3,Friday,4,0
05/01/18,17:00:00,234,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,76.98,1.0,1010.9,5,Friday,4,0
05/01/18,18:00:00,77,ALUVA,Possible Light Rain and Humid,rain,76.66,1.0,1010.5,5,Friday,4,0
05/01/18,19:00:00,51,ALUVA,Possible Light Rain and Humid,rain,77.28,1.0,1009.0,6,Friday,4,0
05/01/18,20:00:00,216,ALUVA,Rain and Humid,rain,76.83,1.0,1007.4,1,Friday,4,0
05/01/18,21:00:00,169,ALUVA,Possible Light Rain and Humid,rain,75.88,1.0,1008.8,6,Friday,4,0
05/01/18,22:00:00,240,ALUVA,Possible Light Rain and Humid,rain,76.85,1.0,1008.4,5,Friday,4,0
05/01/18,23:00:00,153,ALUVA,Rain and Humid,rain,75.88,1.0,1009.2,8,Friday,4,0
06/01/18,00:00:00,194,ALUVA,Humid and Overcast,cloudy,74.68,1.0,1008.6,6,Saturday,5,0
06/01/18,01:00:00,175,ALUVA,Possible Light Rain and Humid,rain,75.77,1.0,1009.5,6,Saturday,5,0
06/01/18,02:00:00,264,ALUVA,Possible Drizzle and Humid,rain,76.66,1.0,1011.1,3,Saturday,5,0
06/01/18,03:00:00,261,ALUVA,Humid and Overcast,cloudy,76.77,1.0,1011.0,6,Saturday,5,0
06/01/18,04:00:00,252,ALUVA,Humid and Overcast,cloudy,76.44,1.0,1011.0,3,Saturday,5,0
06/01/18,05:00:00,226,ALUVA,Humid and Overcast,cloudy,77.04,1.0,1011.1,6,Saturday,5,0
06/01/18,06:00:00,108,ALUVA,Humid and Overcast,cloudy,77.57,1.0,1010.3,3,Saturday,5,0
06/01/18,07:00:00,173,ALUVA,Humid and Overcast,cloudy,78.7,0.95,1010.9,6,Saturday,5,0
06/01/18,08:00:00,237,ALUVA,Humid and Overcast,cloudy,78.02,0.98,1011.8,8,Saturday,5,0
06/01/18,09:00:00,138,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,78.55,1.0,1011.8,3,Saturday,5,0
06/01/18,10:00:00,130,ALUVA,Humid and Overcast,cloudy,78.41,1.0,1011.5,6,Saturday,5,0
06/01/18,11:00:00,145,ALUVA,Humid and Overcast,cloudy,77.77,0.97,1011.8,3,Saturday,5,0
06/01/18,12:00:00,165,ALUVA,Humid and Overcast,cloudy,78.07,1.0,1011.7,3,Saturday,5,0
06/01/18,13:00:00,205,ALUVA,Possible Light Rain and Humid,rain,77.53,1.0,1010.9,1,Saturday,5,0
06/01/18,14:00:00,137,ALUVA,Humid and Overcast,cloudy,77.12,1.0,1010.4,6,Saturday,5,0
06/01/18,15:00:00,204,ALUVA,Possible Light Rain and Humid,rain,75.89,1.0,1010.4,3,Saturday,5,0
06/01/18,16:00:00,153,ALUVA,Possible Light Rain and Humid,rain,77.58,0.99,1009.6,2,Saturday,5,0
06/01/18,17:00:00,280,ALUVA,Rain and Humid,rain,76.62,1.0,1009.9,8,Saturday,5,0
06/01/18,18:00:00,149,ALUVA,Possible Light Rain and Humid,rain,75.16,1.0,1010.8,5,Saturday,5,0
06/01/18,19:00:00,251,ALUVA,Possible Light Rain and Humid,rain,74.84,1.0,1011.8,6,Saturday,5,0
06/01/18,20:00:00,285,ALUVA,Possible Light Rain and Humid,rain,76.1,1.0,1010.9,1,Saturday,5,0
06/01/18,21:00:00,57,ALUVA,Rain and Humid,rain,76.39,1.0,1009.9,6,Saturday,5,0
06/01/18,22:00:00,176,ALUVA,Rain and Humid,rain,75.56,1.0,1011.5,3,Saturday,5,0
06/01/18,23:00:00,195,ALUVA,Possible Drizzle and Humid,rain,75.86,1.0,1013.1,6,Saturday,5,0
07/01/18,00:00:00,127,ALUVA,Possible Drizzle and Humid,rain,76.64,1.0,1011.8,6,Sunday,6,1
07/01/18,01:00:00,131,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,76.85,1.0,1010.6,2,Sunday,6,1
07/01/18,02:00:00,165,ALUVA,Possible Drizzle and Humid,rain,77.02,1.0,1010.5,6,Sunday,6,1
07/01/18,03:00:00,109,ALUVA,Humid and Overcast,cloudy,77.15,1.0,1011.6,6,Sunday,6,1
07/01/18,04:00:00,52,ALUVA,Possible Light Rain and Humid,rain,77.65,1.0,1011.4,2,Sunday,6,1
07/01/18,05:00:00,264,ALUVA,Possible Light Rain and Humid,rain,76.85,1.0,1011.5,1,Sunday,6,1
07/01/18,06:00:00,193,ALUVA,Possible Light Rain and Humid,rain,75.69,1.0,1011.6,6,Sunday,6,1
07/01/18,07:00:00,217,ALUVA,Possible Light Rain and Humid,rain,75.55,1.0,1011.8,6,Sunday,6,1
07/01/18,08:00:00,62,ALUVA,Humid and Overcast,cloudy,75.7,1.0,1012.6,6,Sunday,6,1
07/01/18,09:00:00,224,ALUVA,Possible Light Rain and Humid,rain,75.57,1.0,1011.7,5,Sunday,6,1
07/01/18,10:00:00,233,ALUVA,Possible Light Rain and Humid,rain,75.65,1.0,1011.3,5,Sunday,6,1
07/01/18,11:00:00,59,ALUVA,Rain and Humid,rain,75.28,1.0,1011.5,1,Sunday,6,1
07/01/18,12:00:00,205,ALUVA,Possible Light Rain and Humid,rain,76.26,1.0,1011.2,2,Sunday,6,1
07/01/18,13:00:00,80,ALUVA,Humid and Overcast,cloudy,76.11,1.0,1010.9,1,Sunday,6,1
07/01/18,14:00:00,195,ALUVA,Possible Light Rain and Humid,rain,76.41,1.0,1010.8,1,Sunday,6,1
07/01/18,15:00:00,181,ALUVA,Humid and Overcast,cloudy,75.73,1.0,1009.3,8,Sunday,6,1
07/01/18,16:00:00,205,ALUVA,Humid and Overcast,cloudy,76.52,1.0,1009.3,7,Sunday,6,1
07/01/18,17:00:00,229,ALUVA,Humid and Overcast,cloudy,74.85,1.0,1010.9,6,Sunday,6,1
07/01/18,18:00:00,83,ALUVA,Humid and Overcast,cloudy,76.52,1.0,1011.3,1,Sunday,6,1
07/01/18,19:00:00,122,ALUVA,Humid and Overcast,cloudy,76.55,1.0,1010.3,6,Sunday,6,1
07/01/18,20:00:00,260,ALUVA,Possible Light Rain and Humid,rain,77.68,0.99,1010.1,5,Sunday,6,1
07/01/18,21:00:00,201,ALUVA,Possible Light Rain and Humid,rain,76.61,1.0,1010.2,2,Sunday,6,1
07/01/18,22:00:00,284,ALUVA,Humid and Overcast,cloudy,75.66,1.0,1010.5,6,Sunday,6,1
07/01/18,23:00:00,217,ALUVA,Humid and Overcast,cloudy,75.85,1.0,1012.0,6,Sunday,6,1
08/01/18,00:00:00,257,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,76.7,1.0,1011.9,8,Monday,0,0
08/01/18,01:00:00,63,ALUVA,Humid and Overcast,cloudy,76.71,1.0,1010.8,3,Monday,0,0
08/01/18,02:00:00,133,ALUVA,Possible Drizzle and Humid,rain,76.89,1.0,1010.9,2,Monday,0,0
08/01/18,03:00:00,189,ALUVA,Rain and Humid,rain,75.49,1.0,1013.2,8,Monday,0,0
08/01/18,04:00:00,182,ALUVA,Humid and Overcast,cloudy,77.84,1.0,1013.5,5,Monday,0,0
08/01/18,05:00:00,252,ALUVA,Humid and Overcast,cloudy,77.5,1.0,1012.4,1,Monday,0,0
08/01/18,06:00:00,179,ALUVA,Humid and Overcast,cloudy,78.25,1.0,1012.4,3,Monday,0,0
08/01/18,07:00:00,224,ALUVA,Possible Light Rain and Humid,rain,78.06,1.0,1012.0,6,Monday,0,0
08/01/18,08:00:00,291,ALUVA,Possible Light Rain and Humid,rain,77.67,1.0,1010.6,6,Monday,0,0
08/01/18,09:00:00,153,ALUVA,Possible Drizzle and Humid,rain,78.22,0.99,1009.1,8,Monday,0,0
08/01/18,10:00:00,250,ALUVA,Possible Light Rain and Humid,rain,76.78,1.0,1010.1,6,Monday,0,0
08/01/18,11:00:00,176,ALUVA,Humid and Overcast,cloudy,77.72,1.0,1010.6,2,Monday,0,0
08/01/18,12:00:00,159,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,77.62,1.0,1010.1,3,Monday,0,0
08/01/18,13:00:00,174,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,78.39,1.0,1009.6,6,Monday,0,0
08/01/18,14:00:00,139,ALUVA,Humid and Overcast,cloudy,77.67,1.0,1010.1,3,Monday,0,0
08/01/18,15:00:00,97,ALUVA,Possible Light Rain and Humid,rain,76.57,1.0,1010.7,1,Monday,0,0
08/01/18,16:00:00,167,ALUVA,Light Rain and Humid,rain,76.13,1.0,1009.9,8,Monday,0,0
08/01/18,17:00:00,188,ALUVA,Possible Drizzle and Humid,rain,77.56,0.99,1012.3,6,Monday,0,0
08/01/18,18:00:00,252,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,75.68,1.0,1014.5,3,Monday,0,0
08/01/18,19:00:00,99,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,77.29,0.99,1014.6,2,Monday,0,0
08/01/18,20:00:00,136,ALUVA,Possible Light Rain and Humid,rain,75.47,1.0,1014.3,8,Monday,0,0
08/01/18,21:00:00,232,ALUVA,Rain and Humid,rain,77.89,1.0,1013.2,6,Monday,0,0
08/01/18,22:00:00,78,ALUVA,Possible Light Rain and Humid,rain,76.75,1.0,1013.6,5,Monday,0,0
08/01/18,23:00:00,119,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,77.42,0.96,1013.2,5,Monday,0,0
09/01/18,00:00:00,288,ALUVA,Possible Light Rain and Humid,rain,77.34,1.0,1012.3,8,Tuesday,1,0
09/01/18,01:00:00,196,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,76.63,1.0,1012.9,8,Tuesday,1,0
09/01/18,02:00:00,111,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,77.08,0.99,1011.9,6,Tuesday,1,0
09/01/18,03:00:00,173,ALUVA,Rain and Humid,rain,76.5,1.0,1011.9,8,Tuesday,1,0
09/01/18,04:00:00,74,ALUVA,Humid and Overcast,cloudy,77.01,0.98,1011.6,3,Tuesday,1,0
09/01/18,05:00:00,161,ALUVA,Humid and Overcast,cloudy,77.65,0.98,1011.9,8,Tuesday,1,0
09/01/18,06:00:00,78,ALUVA,Possible Light Rain and Humid,rain,77.9,1.0,1011.6,6,Tuesday,1,0
09/01/18,07:00:00,256,ALUVA,Humid and Overcast,cloudy,78.85,0.98,1010.8,6,Tuesday,1,0
09/01/18,08:00:00,218,ALUVA,Humid and Overcast,cloudy,77.01,1.0,1011.3,1,Tuesday,1,0
09/01/18,09:00:00,81,ALUVA,Possible Light Rain and Humid,rain,76.16,1.0,1010.7,6,Tuesday,1,0
09/01/18,10:00:00,146,ALUVA,Possible Light Rain and Humid,rain,76.91,1.0,1012.2,6,Tuesday,1,0
09/01/18,11:00:00,164,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,76.79,1.0,1012.6,8,Tuesday,1,0
09/01/18,12:00:00,272,ALUVA,Possible Light Rain and Humid,rain,77.89,1.0,1011.6,6,Tuesday,1,0
09/01/18,13:00:00,54,ALUVA,Humid and Overcast,cloudy,78.36,1.0,1011.4,6,Tuesday,1,0
09/01/18,14:00:00,171,ALUVA,Rain and Humid,rain,75.28,1.0,1012.1,1,Tuesday,1,0
09/01/18,15:00:00,74,ALUVA,Possible Light Rain and Humid,rain,75.04,1.0,1011.5,5,Tuesday,1,0
09/01/18,16:00:00,244,ALUVA,Possible Light Rain and Humid,rain,75.25,1.0,1012.2,5,Tuesday,1,0
09/01/18,17:00:00,224,ALUVA,Humid and Overcast,cloudy,76.22,1.0,1012.1,5,Tuesday,1,0
09/01/18,18:00:00,176,ALUVA,Rain and Humid,rain,75.72,1.0,1011.6,8,Tuesday,1,0
09/01/18,19:00:00,140,ALUVA,Possible Drizzle and Humid,rain,76.37,1.0,1010.9,8,Tuesday,1,0
09/01/18,20:00:00,267,ALUVA,Rain and Humid,rain,75.83,1.0,1011.0,6,Tuesday,1,0
09/01/18,21:00:00,266,ALUVA,Light Rain and Humid,rain,75.68,1.0,1010.8,3,Tuesday,1,0
09/01/18,22:00:00,224,ALUVA,Possible Light Rain and Humid,rain,75.86,1.0,1012.5,1,Tuesday,1,0
09/01/18,23:00:00,205,ALUVA,Possible Light Rain and Humid,rain,76.65,1.0,1011.9,3,Tuesday,1,0
10/01/18,00:00:00,226,ALUVA,Possible Light Rain and Humid,rain,75.33,0.95,1012.1,3,Wednesday,2,0
10/01/18,01:00:00,140,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,76.39,0.98,1011.5,5,Wednesday,2,0
10/01/18,02:00:00,263,ALUVA,Humid and Overcast,cloudy,77.32,1.0,1010.4,3,Wednesday,2,0
10/01/18,03:00:00,192,ALUVA,Possible Drizzle and Humid,rain,76.29,1.0,1009.9,6,Wednesday,2,0
10/01/18,04:00:00,63,ALUVA,Possible Light Rain and Humid,rain,76.24,1.0,1009.6,6,Wednesday,2,0
10/01/18,05:00:00,108,ALUVA,Humid and Overcast,cloudy,74.54,1.0,1011.8,3,Wednesday,2,0
10/01/18,06:00:00,59,ALUVA,Humid,clear-night,76.07,0.99,1011.5,3,Wednesday,2,0
10/01/18,07:00:00,275,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,77.49,0.98,1012.3,6,Wednesday,2,0
10/01/18,08:00:00,106,ALUVA,Possible Light Rain and Humid,rain,75.29,1.0,1014.2,8,Wednesday,2,0
10/01/18,09:00:00,178,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,76.28,1.0,1013.2,3,Wednesday,2,0
10/01/18,10:00:00,194,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,78.11,1.0,1012.0,6,Wednesday,2,0
10/01/18,11:00:00,87,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,77.92,1.0,1010.5,5,Wednesday,2,0
10/01/18,12:00:00,288,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,77.19,1.0,1010.8,8,Wednesday,2,0
10/01/18,13:00:00,145,ALUVA,Possible Light Rain and Humid,rain,76.85,1.0,1011.7,8,Wednesday,2,0
10/01/18,14:00:00,67,ALUVA,Humid and Overcast,cloudy,76.34,1.0,1011.6,6,Wednesday,2,0
10/01/18,15:00:00,140,ALUVA,Humid and Overcast,cloudy,75.68,1.0,1011.3,3,Wednesday,2,0
10/01/18,16:00:00,224,ALUVA,Humid,clear-night,75.63,1.0,1011.3,6,Wednesday,2,0
10/01/18,17:00:00,187,ALUVA,Humid,clear-night,76.7,1.0,1011.3,3,Wednesday,2,0
10/01/18,18:00:00,113,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,78.4,0.94,1011.3,6,Wednesday,2,0
10/01/18,19:00:00,153,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,79.4,0.96,1011.3,2,Wednesday,2,0
